client_id,name,age,country,income,risk_profile
1,Anna Solomon,81,France,66449,medium
2,Juan Lee,85,France,43740,high
3,John Li,52,France,81510,high
4,Gregory Le,18,France,112778,medium
5,Emily Meyer,50,France,117314,high
6,Randy Scott,36,France,65268,high
7,Amanda Moore,69,France,15605,high
8,Tony Johnson,61,France,39378,low
9,Elizabeth Smith,44,France,110442,medium
10,John Roberts,77,France,64460,low
11,Stephen Johnson,25,France,105900,medium
12,Eduardo Mathews,74,France,69590,high
13,Emily Fleming,21,France,78064,medium
14,Miguel Barrera,27,France,92496,low
15,Karen Jimenez,76,France,93757,high
16,Robin Chavez,83,France,19655,medium
17,Maria Mooney,46,France,119755,low
18,Heather Torres,62,France,22109,low
19,Larry Wright,62,France,118454,medium
20,Seth Dodson,47,France,60422,high
21,Patrick Wise III,66,France,39161,high
22,Laura Choi,80,France,89915,low
23,Alexis Mack,81,France,77126,medium
24,Ryan Hampton,45,France,105929,high
25,Kimberly Tran,68,France,83092,medium
26,Kimberly Proctor,29,France,86111,low
27,Julie Phillips,72,France,45058,high
28,Victor Gonzalez,21,France,36680,low
29,Paul Harris,78,France,70381,medium
30,Judith Mercado,35,France,94719,low
31,Paula Munoz,24,France,37240,medium
32,Bethany Fuentes,57,France,40938,low
33,Gerald Johnson,30,France,29294,low
34,Robert Nichols,20,France,112141,low
35,Carolyn Mclean,67,France,39565,medium
36,Tracey Tyler,36,France,39549,medium
37,Richard Cardenas,73,France,17825,low
38,Ryan Stanton,56,France,73834,medium
39,Malik Hansen,35,France,33505,medium
40,Diana Carson,74,France,88227,low
41,Jordan Short,70,France,112437,low
42,Tiffany Smith,36,France,116635,low
43,Michael Gross,71,France,92069,low
44,Mark Larsen,34,France,83299,medium
45,Phillip Werner,40,France,13519,low
46,Chad Miller,63,France,22920,high
47,Ronald Curtis,36,France,85967,medium
48,Michael Tate,82,France,42855,medium
49,Scott Richardson,36,France,82251,medium
50,Jordan Gordon,49,France,68729,low
51,Travis Jackson,30,France,116767,high
52,Joseph Martinez,49,France,28270,low
53,Allison Williams,56,France,32918,medium
54,David Armstrong,74,France,85193,high
55,Amanda Baker,62,France,43571,low
56,Chad Shepard,39,France,88430,low
57,Barbara Brown,31,France,41539,low
58,Robert Brown,63,France,68252,high
59,Kristopher Anderson,19,France,48605,high
60,Elizabeth Anderson,63,France,65128,medium
61,Donna Gordon,26,France,59976,medium
62,Bryan Jones,61,France,49702,low
63,Victoria Obrien,21,France,15514,low
64,Ronald Ritter,33,France,80249,high
65,George Wallace,25,France,15502,low
66,Robert Morris,52,France,113346,high
67,Ashley Hobbs,80,France,52710,high
68,Keith Liu,76,France,62739,high
69,Rachel Flynn,20,France,29687,medium
70,Sue Obrien,79,France,78274,low
71,Dorothy Hill,19,France,83789,high
72,Lisa Watson,35,France,119932,medium
73,Nancy Roberson,21,France,15314,low
74,Chelsea Olson,70,France,112845,low
75,David Cardenas,78,France,24297,medium
76,John Boyer,62,France,85865,low
77,James Castillo,64,France,103991,medium
78,Rose Walker,62,France,100047,low
79,Amy Martinez,78,France,117679,high
80,Mark Kaufman,43,France,118946,medium
81,Stacey Myers,44,France,93785,low
82,Aaron Parker,62,France,37838,medium
83,Brittney Chung,81,France,108183,high
84,Valerie Vega,61,France,33710,low
85,Kyle Young,18,France,63817,low
86,Roger Rowe,81,France,83450,medium
87,Tracy Parker,44,France,21005,low
88,Christopher Stone,50,France,34375,medium
89,Jeffrey Perez,70,France,89096,medium
90,Nicholas Alvarado,43,France,109502,high
